Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
-6,-10,-128,-12,-9,-4,-6,-128
1,-13,13,28,25,12,4,-128
-2,0,-10,-31,-34,-4,-7,-128
-6,-1,14,39,-10,-14,-14,-128
-6,0,19,-21,23,-2,-16,-128
3,2,-2,14,-15,-7,-5,-128
5,-7,-1,6,17,9,10,-128
1,-28,17,11,30,3,2,-128
-6,0,-3,-10,-26,-8,0,-128
2,2,-29,21,16,3,7,-128
-8,-1,-6,-47,-28,-6,-3,-128
1,1,-5,45,21,-4,-3,-128
-1,4,6,-7,-4,-4,-3,-128
-8,-4,-8,-5,-3,-8,0,-128
-5,-3,2,5,31,5,-1,-128
8,2,1,7,2,2,4,-128
-1,0,-10,-25,-11,3,4,-128
-6,-4,-8,-25,-37,-18,-9,-128
3,0,-12,14,37,12,3,-128
-5,8,18,33,-3,-3,-4,-128
-8,-18,10,-46,-20,-11,-7,-128
0,-8,-63,42,10,3,3,-128
3,4,21,-15,22,1,1,-128
-1,-1,17,50,14,-3,-1,-128
-2,-10,-6,-23,28,12,1,-128
3,6,45,-15,-20,-5,5,-128
-4,4,-22,-5,-18,-5,2,-128
1,9,10,22,1,4,8,-128
-4,-1,10,-2,-3,0,-6,-128
-1,-13,-16,-8,-6,2,-2,-128
-3,-5,-18,-16,-23,-9,-2,-128
-1,-3,8,-1,-21,-10,-8,-128
-3,-3,-10,-18,14,-1,-3,-128
-2,1,6,50,-35,-8,2,-128
-1,2,37,-68,-16,-6,-2,-128
9,-1,-74,-19,42,9,14,-128
1,-4,8,38,46,4,10,-128
-2,1,15,-2,-26,-7,0,-128
-8,-6,-1,-9,15,-2,-6,-128
-2,-2,13,3,-11,-5,-17,-128
1,5,-1,6,-2,-1,-4,-128
1,-2,-6,-32,-29,-12,-7,-128
-1,0,23,30,-5,1,6,-128
-2,-6,-36,1,21,9,2,-128
-3,-7,-21,11,-20,-7,-6,-128
6,-3,-10,-34,25,4,6,-128
2,15,57,15,-47,-15,-6,-128
-6,-18,-54,2,125,20,1,-128
-4,-4,-81,0,-4,-3,-1,-128
-5,7,6,-6,-37,-7,-7,-128
1,0,-6,14,79,6,-1,-128
4,-4,-11,20,-1,0,1,-128
1,-3,29,-4,-8,5,-5,-128
-7,-5,-27,-7,-6,-6,-3,-128
-3,-3,4,1,11,-5,0,-128
2,0,-6,29,-3,2,0,-128
-3,-2,-8,-50,1,2,-1,-128
-1,-1,16,2,-8,-3,0,-128
0,-3,25,16,-1,2,-10,-128
0,3,-12,7,3,3,0,-128
-6,-12,-26,-36,-27,-10,-7,-128
2,3,-25,-28,-13,2,0,-128
0,9,33,50,43,12,-3,-128
-2,-4,11,8,16,1,-2,-128
-3,-6,26,-6,-9,-6,-3,-128
-2,-4,-29,-9,-16,-5,0,-128
8,3,7,0,-19,-5,5,-128
0,-10,14,-22,-17,-1,-3,-128
-4,-4,-16,9,31,-2,-7,-128
-3,-2,44,-12,38,10,-1,-128
-2,6,0,9,-14,1,8,-128
-2,2,8,26,-22,-8,-2,-128
2,5,-15,-6,28,-1,-5,-128
1,-6,7,21,25,14,6,-128
0,4,-11,-12,-18,-1,1,-128
-2,-12,2,2,-22,-9,-2,-128
-6,-16,-14,2,-1,-5,-5,-128
3,1,15,6,19,1,0,-128
-2,9,38,3,-7,-3,-1,-128
-4,-1,-17,-11,-8,3,-7,-128
-1,4,-12,5,7,2,9,-128
-5,-5,-11,-10,-9,-9,-1,-128
-1,-4,9,-11,-36,-6,-5,-128
2,-2,0,-2,29,5,3,-128
0,7,25,8,8,1,-1,-128
2,-4,-22,-24,-22,-2,-9,-128
-2,1,8,-4,19,7,-3,-128
-7,-8,1,-18,-50,-4,9,-128
-9,-16,1,44,39,-2,-1,-128
7,-15,35,-1,5,-3,-1,-128
8,15,-26,17,50,15,10,-128
4,5,19,8,4,4,10,-128
-8,-5,-21,-17,-13,-7,-8,-128
-6,-7,6,-13,-20,-16,-15,-128
-1,-4,12,-3,1,3,-4,-128
-3,0,-2,20,-9,2,5,-128
-2,-1,-2,-15,2,-5,-4,-128
-3,-13,-28,-28,-16,-14,-6,-128
9,6,39,10,-1,1,2,-128
-5,-13,11,-14,-8,-3,3,-128
-1,-5,-41,-31,12,5,5,-128
0,-3,-12,-35,-40,-10,-1,-128
4,13,87,18,3,6,8,-128
-5,-3,-54,12,16,3,-2,-128
-6,-4,-2,-8,-38,-19,-15,-128
-1,0,9,9,35,14,3,-128
-2,-3,-1,-4,3,-7,-5,-128
3,1,-16,-4,0,-4,6,-128
-3,-1,35,-9,-5,-2,-1,-128
3,6,40,-4,-16,-3,-6,-128
-2,0,-8,0,2,-1,-3,-128
-3,-6,-15,-24,-23,-5,1,-128
1,2,-2,6,-10,-2,0,-128
-2,-12,-13,16,57,15,4,-128
3,4,-3,20,21,-3,-9,-128
-7,-9,-2,-15,-13,-7,-10,-128
1,3,25,20,7,1,-3,-128
-17,-8,6,-19,-40,-11,-7,-128
2,8,0,3,44,15,12,-128
1,-4,18,-2,-17,-1,4,-128
6,-4,0,8,9,-4,-12,-128
3,4,13,-24,-33,-10,-3,-128
-2,-4,-1,16,21,6,-3,-128
-3,-5,16,-10,-5,5,1,-128
-5,-2,-9,15,5,4,13,-128
3,1,1,-15,5,-3,-7,-128
1,2,-19,-41,-45,-14,-5,-128
5,6,36,48,41,5,8,-128
-4,-4,8,17,42,9,-5,-128
-6,-5,42,-5,-28,-11,-4,-128
3,-6,-79,-28,17,8,1,-128
-5,1,13,21,-10,-8,-2,-128
-2,-9,-12,17,-1,5,1,-128
1,2,28,-34,36,11,6,-128
6,7,51,16,22,7,-12,-128
5,-8,-12,8,3,-4,-2,-128
-5,4,37,7,-20,-7,0,-128
-1,-8,-16,4,-28,-7,2,-128
-7,-3,-15,-25,-4,0,-3,-128
0,-2,11,23,22,5,-4,-128
0,3,1,-8,-14,-1,0,-128
2,-5,-15,12,-23,-7,0,-128
-4,-3,24,-27,13,2,0,-128
-2,0,13,14,2,0,-3,-128
-5,-5,33,-23,6,0,2,-128
-3,-8,-53,1,-30,-2,3,-128
-4,-4,15,-17,23,-5,1,-128
-7,3,52,-3,5,6,-19,-128
-1,-11,-95,14,-32,-9,-7,-128
8,4,7,15,32,-5,3,-128
4,7,16,6,12,3,-2,-128
-5,1,-6,-9,-15,-5,-4,-128
3,-1,6,-4,-12,3,3,-128
-4,-9,-17,-25,-47,-7,-4,-128
-9,-10,40,39,23,-4,-4,-128
2,5,-37,-6,19,1,1,-128
-1,2,-1,-31,-27,-5,-3,-128
-1,-3,7,22,14,3,3,-128
0,-6,-69,-1,2,5,7,-128
-4,-10,-29,-18,23,-1,-5,-128
0,7,6,53,-19,-9,-4,-128
0,2,8,-49,8,12,-4,-128
-2,0,-4,16,-16,-6,0,-128
-4,4,13,-16,1,-8,-9,-128
-1,5,30,4,-54,-6,-2,-128
-4,-4,-7,54,79,9,3,-128
-1,-4,-11,-11,1,0,4,-128
3,-3,0,-4,2,1,2,-128
0,-10,-12,-20,-15,-6,-7,-128
0,7,21,15,-11,-4,-7,-128
-8,-11,27,5,-14,-8,-7,-128
0,-9,-43,-22,-8,-5,0,-128
-5,-6,3,12,-3,-1,-4,-128
-2,6,-7,1,-11,1,-1,-128
1,0,-20,-6,-12,-8,-8,-128
-6,-2,3,7,16,7,2,-128
-6,0,18,-27,-30,-8,-9,-128
1,7,38,-2,16,6,2,-128
2,-2,-23,17,44,11,4,-128
-1,1,41,-2,-28,-9,-1,-128
8,-4,-21,14,4,2,5,-128
-5,-13,-86,-8,-28,-9,-4,-128
0,6,18,14,31,12,2,-128
-5,-1,28,-4,-14,-4,-10,-128
-3,-1,2,-9,25,7,7,-128
-4,1,20,9,-44,-5,2,-128
8,5,-17,-7,1,1,-5,-128
2,-6,46,23,50,5,8,-128
-6,-7,-30,-7,-5,-5,-4,-128
0,-4,-11,19,-23,-5,-3,-128
-3,-6,-9,-44,-27,-2,0,-128
2,3,-8,12,-1,1,1,-128
-1,11,32,1,43,8,-2,-128
-8,-2,4,-21,-32,-14,-9,-128
-7,-2,-16,-31,-33,-4,-7,-128
-1,-2,-8,36,70,10,1,-128
-6,-2,1,7,16,5,0,-128
-3,1,6,1,-5,3,1,-128
3,0,1,-1,-3,-1,7,-128
-3,-10,-1,-7,-11,-10,-5,-128
2,7,9,-3,-5,0,-8,-128
0,1,10,-26,-42,-6,-5,-128
-4,-3,61,-4,-18,-12,-4,-128
-6,-10,-32,7,66,19,3,-128
-4,-4,-53,6,4,2,3,-128
4,4,8,9,-19,-10,-4,-128
0,7,37,-29,-28,-12,-6,-128
6,4,-19,12,15,14,0,-128
-3,-8,18,0,12,6,-4,-128
0,8,60,-15,-20,-8,-5,-128
-6,-13,-112,15,-17,-6,-5,-128
-2,4,4,-32,2,-2,-2,-128
-6,-9,-6,25,5,4,5,-128
0,4,3,-1,-9,0,3,-128
-6,-2,3,-38,-28,-13,-5,-128
10,0,25,1,12,-8,1,-128
-1,-4,1,15,20,8,6,-128
-2,-3,4,2,7,-3,2,-128
-5,0,-2,-10,-17,-2,-10,-128
-1,0,-12,-4,-51,-13,-6,-128
5,2,-7,-8,44,10,13,-128
0,5,6,28,5,1,0,-128
-2,1,-31,28,6,0,0,-128
1,-11,0,-42,-27,-6,-6,-128
0,-3,31,31,25,-5,-10,-128
1,0,-37,18,9,6,0,-128
-5,-8,-3,-15,13,-2,-2,-128
-3,5,8,0,-6,-1,2,-128
-3,5,-57,-7,-23,-3,-4,-128
-4,-7,55,-16,-14,-3,0,-128
-4,-4,-27,-22,-8,-8,-7,-128
0,2,20,-17,-43,-10,-5,-128
-5,-4,13,-23,-11,-3,4,-128
5,9,-10,60,78,15,9,-128
0,2,-7,27,-6,-9,-7,-128
-2,-2,-2,-46,-44,-10,-7,-128
8,3,15,6,72,25,9,-128
-4,4,6,6,3,0,-1,-128
-4,-2,29,-6,-31,-10,-3,-128
-1,-7,-49,2,-8,-12,-8,-128
-6,3,18,-8,3,0,1,-128
-4,-2,-2,-35,-32,-7,-11,-128
7,3,19,30,10,2,-3,-128
3,0,-33,-21,21,5,4,-128
-7,-20,-4,-6,-15,-4,2,-128
-2,-3,-60,-10,-6,-1,0,-128
-3,5,15,18,4,1,-5,-128
-2,1,-1,1,5,-1,0,-128
-1,-3,16,-5,-8,-1,-11,-128
-4,-3,0,-10,-12,-6,-5,-128
0,0,-7,-22,-63,-6,13,-128
4,7,20,13,54,7,4,-128
-6,-18,-19,4,41,-5,-13,-128
-3,-2,-65,-7,-38,-7,-2,-128
5,13,50,13,28,9,12,-128
-1,-12,-30,2,-7,0,0,-128
3,18,25,5,-7,1,2,-128
-4,-4,14,-26,-1,-4,-7,-128
-1,0,-4,-4,-7,-5,2,-128
-3,-4,9,-27,-25,-4,1,-128
-3,-3,1,18,6,-3,-1,-128
1,-2,26,17,20,8,3,-128
0,-5,-44,30,10,-2,2,-128
-1,5,34,6,3,-1,-9,-128
-5,-1,-18,12,-34,-5,-1,-128
