Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
2,-1,10,-2,-1,2,0,-128
-1,-1,7,-1,1,0,-1,-128
-2,-1,22,-1,-4,-1,0,-128
-5,-12,-63,-10,-2,-4,-4,-128
-4,-5,5,0,0,-1,-1,-128
-1,2,13,-4,-2,0,-3,-128
-2,-2,-13,-8,-8,-3,-1,-128
1,-2,-8,-7,1,3,-2,-128
-3,-4,-4,-2,-2,-1,-5,-128
-2,-1,1,0,-2,-3,-4,-128
-3,-2,1,1,-1,-5,0,-128
0,-2,4,-2,-2,-4,-4,-128
-1,4,1,1,0,0,-1,-128
2,0,-20,-4,1,1,3,-128
-6,-11,-10,-6,-2,0,0,-128
-2,1,66,-1,-2,0,-3,-128
-2,-6,-10,-2,-1,-4,-3,-128
-3,0,1,6,1,-1,-1,-128
-2,-2,-39,-1,-2,-5,2,-128
-6,-2,-19,-25,-7,-5,-1,-128
-4,4,5,-3,-2,-5,-1,-128
-4,-3,11,7,-1,0,-3,-128
1,-1,-13,-2,-2,-2,2,-128
-1,-4,-1,5,0,-3,0,-128
-1,-2,17,-2,1,1,1,-128
1,10,-9,2,1,1,-1,-128
2,-1,-31,-2,2,5,1,-128
-5,-15,-46,-8,3,-2,-2,-128
-3,2,32,2,0,-2,-2,-128
0,0,7,2,-2,-2,-5,-128
-2,3,12,1,-5,0,1,-128
4,1,8,2,-1,-2,-2,-128
0,0,-17,-9,-4,0,-5,-128
-2,2,-3,-10,-6,-2,0,-128
-1,-2,22,1,2,-1,-2,-128
-4,-3,-7,11,1,-1,0,-128
-1,-1,-15,-5,-4,-2,-5,-128
1,0,-2,-2,-2,0,-1,-128
-4,-4,-1,-4,-4,-1,-2,-128
-4,0,3,-4,-4,-4,-3,-128
1,-1,2,-3,-3,2,-2,-128
-1,2,-1,0,-2,2,-1,-128
-2,6,16,5,-1,1,-1,-128
-2,-4,30,-4,-2,0,-3,-128
-4,-10,-25,-6,-7,-3,-3,-128
3,2,18,2,-2,-2,-4,-128
-2,1,15,2,0,-3,-1,-128
-3,-2,4,5,0,-1,-2,-128
-2,4,0,1,2,-1,0,-128
0,4,-11,-12,-2,0,2,-128
0,-2,2,-1,-1,-3,3,-128
-2,-2,-1,-2,2,-2,-3,-128
-1,-1,0,-2,-1,-2,-1,-128
-2,-4,-12,-6,-3,-4,-2,-128
-2,1,4,-2,0,-3,-2,-128
-4,-1,-5,0,0,0,-2,-128
-2,-5,-11,-2,-2,2,0,-128
-4,-3,0,0,0,-2,0,-128
-2,1,-20,-8,-4,-5,-1,-128
-2,-1,32,-1,-3,-2,-2,-128
-1,-3,-42,-2,-3,-3,1,-128
-2,1,8,4,-2,-3,-2,-128
-1,0,-7,0,0,2,0,-128
-3,0,13,-2,2,-2,-1,-128
-3,-3,28,0,1,0,-2,-128
-3,-9,-61,-8,-1,-1,-3,-128
-4,0,15,-4,-4,-4,-3,-128
-1,1,8,2,1,-1,-2,-128
0,2,8,0,2,-2,-1,-128
-1,0,-1,0,-1,-2,-3,-128
-1,-6,1,2,-4,-3,1,-128
-1,3,3,-5,-5,-2,-1,-128
-1,1,0,1,-1,-1,-1,-128
0,2,6,-3,3,-2,-1,-128
-2,-6,-36,-2,6,1,0,-128
-1,-2,25,-1,-2,-3,-3,-128
-2,-2,-2,0,-3,-3,-4,-128
-1,-4,-6,-1,-1,-1,-1,-128
